,number,value,datetime_start,datetime_complete,duration,params_augmentation_strength,params_label_smoothing,params_lr_backbone,params_lr_heads_bin,params_lr_heads_multi,params_weight_decay,state
39,39,5.870960402488708,2025-11-25 07:29:10.265412,2025-11-25 07:36:53.614735,0 days 00:07:43.349323,2,0.0008937373815163206,1.3540985456900546e-05,0.0010052751067266717,0.0029492630090754376,0.0004698296633455782,COMPLETE
40,40,6.044132137298584,2025-11-25 07:36:53.895879,2025-11-25 07:38:28.060774,0 days 00:01:34.164895,1,0.04109310351385824,1.2593293767238702e-05,0.0009652078186078356,0.0009970569730818675,0.0005233097705405708,PRUNED
41,41,5.991575908660889,2025-11-25 07:39:08.519932,2025-11-25 07:41:09.866887,0 days 00:02:01.346955,2,0.013763023335946964,2.7280240567161453e-05,0.003051389869273299,0.002887769116254276,0.00010518057815625954,PRUNED
42,42,6.011688995361328,2025-11-25 07:41:50.315879,2025-11-25 07:43:20.216955,0 days 00:01:29.901076,1,0.00020676317773139676,1.8734066731628497e-05,0.0006352831739411637,0.0015097767423328066,0.0004481889817228227,PRUNED
43,43,5.947152590751648,2025-11-25 07:44:00.661320,2025-11-25 07:51:44.260169,0 days 00:07:43.598849,2,0.012888554598740611,7.5941622695392604e-06,0.0014451439312456811,0.004466315090584348,0.00020282131346029014,COMPLETE
44,44,5.954633021354676,2025-11-25 07:51:44.553830,2025-11-25 07:59:30.694551,0 days 00:07:46.140721,2,0.013930956975398914,7.015344108975887e-06,0.001122934073410289,0.007044577940748985,0.0033690126178508696,PRUNED
45,45,5.922480964660645,2025-11-25 08:00:11.157630,2025-11-25 08:07:55.773212,0 days 00:07:44.615582,1,0.026948893109167857,1.3901355967696083e-05,0.002681176572511727,0.005595056054904554,0.00020358434212114848,COMPLETE
46,46,6.056961441040039,2025-11-25 08:07:56.037661,2025-11-25 08:09:22.130805,0 days 00:01:26.093144,1,0.19839129307264966,1.2849537825901063e-05,0.006321920715063269,0.004445684434377842,7.340947826751133e-05,PRUNED
47,47,6.017414474487305,2025-11-25 08:10:02.572922,2025-11-25 08:11:28.511931,0 days 00:01:25.939009,1,0.05685191534950748,4.398929994781089e-06,0.0030833168951694793,0.005733839154314194,0.0001864724975569272,PRUNED
48,48,6.1005579948425295,2025-11-25 08:12:08.942280,2025-11-25 08:13:33.870090,0 days 00:01:24.927810,2,0.1819369368731024,8.631060147206872e-06,0.0021272734154774483,0.008205370504518616,0.0011594100215934476,PRUNED
49,49,5.995540523529053,2025-11-25 08:14:14.304753,2025-11-25 08:16:07.237830,0 days 00:01:52.933077,1,0.0320820716138879,6.788631798208959e-06,0.004632954876006158,0.004223894341592282,0.00039036010251555504,PRUNED
